date,error_message,error_source,error_type,key,time
2016-09-22, Route.get() requires callback functions but got a [object Undefined], module.exports (C:\\mean\\modules\\temperatures\\server\\routes\\temperatures.server.routes.js:12:6)   ,Unknown,1,10:37:58
2016-09-22, user is not defined, model.<anonymous> (C:\\mean\\modules\\users\\server\\models\\user.server.model.js:118:27)   ,Unknown,2,10:53:02
