date,error_message,error_source,error_type,key,line:col,time
2016-09-22, Route.get() requires callback functions but got a [object Undefined], module.exports (C:\\mean\\modules\\temperatures\\server\\routes\\temperatures.server.routes.js)   ,Unknown,1,12:6,10:37:58
2016-09-22, user is not defined, model.<anonymous> (C:\\mean\\modules\\users\\server\\models\\user.server.model.js)   ,Unknown,2,118:27,10:53:02
